"Sex","Province or County","CensusYear","Statistic Label","UNIT","VALUE"
"Both sexes","South Tipperary","1996","Annual Rate of Population Increase","No. per 1000 Pop.","1.6"
"Both sexes","South Tipperary","2002","Population","Number","79121"
"Both sexes","South Tipperary","2002","Population Change since previous Census","Number","3607"
"Both sexes","South Tipperary","2002","Annual Rate of Population Increase","No. per 1000 Pop.","7.8"
"Both sexes","South Tipperary","2006","Population","Number","83221"
"Both sexes","South Tipperary","2006","Population Change since previous Census","Number","4100"
"Both sexes","South Tipperary","2006","Annual Rate of Population Increase","No. per 1000 Pop.","12.7"
"Both sexes","South Tipperary","2011","Population","Number","88432"
"Both sexes","South Tipperary","2011","Population Change since previous Census","Number","5211"
"Both sexes","South Tipperary","2011","Annual Rate of Population Increase","No. per 1000 Pop.","12.1"
"Both sexes","South Tipperary","2016","Population","Number","88271"
"Both sexes","South Tipperary","2016","Population Change since previous Census","Number","-161"
"Both sexes","South Tipperary","2016","Annual Rate of Population Increase","No. per 1000 Pop.","-0.4"
"Both sexes","Waterford","1841","Population","Number","196187"
"Both sexes","Waterford","1841","Population Change since previous Census","Number",""
"Both sexes","Waterford","1841","Annual Rate of Population Increase","No. per 1000 Pop.",""
"Both sexes","Waterford","1851","Population","Number","164035"
"Both sexes","Waterford","1851","Population Change since previous Census","Number","-32152"
"Both sexes","Waterford","1851","Annual Rate of Population Increase","No. per 1000 Pop.","-17.7"
"Both sexes","Waterford","1861","Population","Number","134252"
"Both sexes","Waterford","1861","Population Change since previous Census","Number","-29783"
"Both sexes","Waterford","1861","Annual Rate of Population Increase","No. per 1000 Pop.","-19.8"
"Both sexes","Waterford","1871","Population","Number","123310"
"Both sexes","Waterford","1871","Population Change since previous Census","Number","-10942"
"Both sexes","Waterford","1871","Annual Rate of Population Increase","No. per 1000 Pop.","-8.5"
"Both sexes","Waterford","1881","Population","Number","112768"
"Both sexes","Waterford","1881","Population Change since previous Census","Number","-10542"
"Both sexes","Waterford","1881","Annual Rate of Population Increase","No. per 1000 Pop.","-8.9"
"Both sexes","Waterford","1891","Population","Number","98251"
"Both sexes","Waterford","1891","Population Change since previous Census","Number","-14517"
"Both sexes","Waterford","1891","Annual Rate of Population Increase","No. per 1000 Pop.","-13.7"
"Both sexes","Waterford","1901","Population","Number","87187"
"Both sexes","Waterford","1901","Population Change since previous Census","Number","-11064"
"Both sexes","Waterford","1901","Annual Rate of Population Increase","No. per 1000 Pop.","-11.9"
"Both sexes","Waterford","1911","Population","Number","83966"
"Both sexes","Waterford","1911","Population Change since previous Census","Number","-3221"
"Both sexes","Waterford","1911","Annual Rate of Population Increase","No. per 1000 Pop.","-3.8"
"Both sexes","Waterford","1926","Population","Number","78562"
"Both sexes","Waterford","1926","Population Change since previous Census","Number","-5404"
"Both sexes","Waterford","1926","Annual Rate of Population Increase","No. per 1000 Pop.","-4.4"
"Both sexes","Waterford","1936","Population","Number","77614"
"Both sexes","Waterford","1936","Population Change since previous Census","Number","-948"
"Both sexes","Waterford","1936","Annual Rate of Population Increase","No. per 1000 Pop.","-1.2"
"Both sexes","Waterford","1946","Population","Number","76108"
"Both sexes","Waterford","1946","Population Change since previous Census","Number","-1506"
"Both sexes","Waterford","1946","Annual Rate of Population Increase","No. per 1000 Pop.","-2"
"Both sexes","Waterford","1951","Population","Number","75061"
"Both sexes","Waterford","1951","Population Change since previous Census","Number","-1047"
"Both sexes","Waterford","1951","Annual Rate of Population Increase","No. per 1000 Pop.","-2.8"
"Both sexes","Waterford","1956","Population","Number","74031"
"Both sexes","Waterford","1956","Population Change since previous Census","Number","-1030"
"Both sexes","Waterford","1956","Annual Rate of Population Increase","No. per 1000 Pop.","-2.8"
"Both sexes","Waterford","1961","Population","Number","71439"
"Both sexes","Waterford","1961","Population Change since previous Census","Number","-2592"
"Both sexes","Waterford","1961","Annual Rate of Population Increase","No. per 1000 Pop.","-7.1"
"Both sexes","Waterford","1966","Population","Number","73080"
"Both sexes","Waterford","1966","Population Change since previous Census","Number","1641"
"Both sexes","Waterford","1966","Annual Rate of Population Increase","No. per 1000 Pop.","4.6"
"Both sexes","Waterford","1971","Population","Number","77315"
"Both sexes","Waterford","1971","Population Change since previous Census","Number","4235"
"Both sexes","Waterford","1971","Annual Rate of Population Increase","No. per 1000 Pop.","11.3"
"Both sexes","Waterford","1979","Population","Number","87278"
"Both sexes","Waterford","1979","Population Change since previous Census","Number","9963"
"Both sexes","Waterford","1979","Annual Rate of Population Increase","No. per 1000 Pop.","15.3"
"Both sexes","Waterford","1981","Population","Number","88591"
"Both sexes","Waterford","1981","Population Change since previous Census","Number","1313"
"Both sexes","Waterford","1981","Annual Rate of Population Increase","No. per 1000 Pop.","7.5"
"Both sexes","Waterford","1986","Population","Number","91151"
"Both sexes","Waterford","1986","Population Change since previous Census","Number","2560"
"Both sexes","Waterford","1986","Annual Rate of Population Increase","No. per 1000 Pop.","5.7"
"Both sexes","Waterford","1991","Population","Number","91624"
"Both sexes","Waterford","1991","Population Change since previous Census","Number","473"
"Both sexes","Waterford","1991","Annual Rate of Population Increase","No. per 1000 Pop.","1"
"Both sexes","Waterford","1996","Population","Number","94680"
"Both sexes","Waterford","1996","Population Change since previous Census","Number","3056"
"Both sexes","Waterford","1996","Annual Rate of Population Increase","No. per 1000 Pop.","6.6"
"Both sexes","Waterford","2002","Population","Number","101546"
"Both sexes","Waterford","2002","Population Change since previous Census","Number","6866"
"Both sexes","Waterford","2002","Annual Rate of Population Increase","No. per 1000 Pop.","11.7"
"Both sexes","Waterford","2006","Population","Number","107961"
"Both sexes","Waterford","2006","Population Change since previous Census","Number","6415"
"Both sexes","Waterford","2006","Annual Rate of Population Increase","No. per 1000 Pop.","15.4"
"Both sexes","Waterford","2011","Population","Number","113795"
"Both sexes","Waterford","2011","Population Change since previous Census","Number","5834"
"Both sexes","Waterford","2011","Annual Rate of Population Increase","No. per 1000 Pop.","10.5"
"Both sexes","Waterford","2016","Population","Number","116176"
"Both sexes","Waterford","2016","Population Change since previous Census","Number","2381"
"Both sexes","Waterford","2016","Annual Rate of Population Increase","No. per 1000 Pop.","4.1"
"Both sexes","Connacht","1841","Population","Number","1418859"
"Both sexes","Connacht","1841","Population Change since previous Census","Number",""
"Both sexes","Connacht","1841","Annual Rate of Population Increase","No. per 1000 Pop.",""
"Both sexes","Connacht","1851","Population","Number","1010031"
"Both sexes","Connacht","1851","Population Change since previous Census","Number","-408828"
"Both sexes","Connacht","1851","Annual Rate of Population Increase","No. per 1000 Pop.","-33.4"
"Both sexes","Connacht","1861","Population","Number","913135"
"Both sexes","Connacht","1861","Population Change since previous Census","Number","-96896"
"Both sexes","Connacht","1861","Annual Rate of Population Increase","No. per 1000 Pop.","-10"
"Both sexes","Connacht","1871","Population","Number","846213"
"Both sexes","Connacht","1871","Population Change since previous Census","Number","-66922"
"Both sexes","Connacht","1871","Annual Rate of Population Increase","No. per 1000 Pop.","-7.6"
"Both sexes","Connacht","1881","Population","Number","821657"
"Both sexes","Connacht","1881","Population Change since previous Census","Number","-24556"
"Both sexes","Connacht","1881","Annual Rate of Population Increase","No. per 1000 Pop.","-2.9"
"Both sexes","Connacht","1891","Population","Number","724774"
"Both sexes","Connacht","1891","Population Change since previous Census","Number","-96883"
"Both sexes","Connacht","1891","Annual Rate of Population Increase","No. per 1000 Pop.","-12.5"
"Both sexes","Connacht","1901","Population","Number","646932"
"Both sexes","Connacht","1901","Population Change since previous Census","Number","-77842"
"Both sexes","Connacht","1901","Annual Rate of Population Increase","No. per 1000 Pop.","-11.3"
"Both sexes","Connacht","1911","Population","Number","610984"
"Both sexes","Connacht","1911","Population Change since previous Census","Number","-35948"
"Both sexes","Connacht","1911","Annual Rate of Population Increase","No. per 1000 Pop.","-5.7"
"Both sexes","Connacht","1926","Population","Number","552907"
"Both sexes","Connacht","1926","Population Change since previous Census","Number","-58077"
"Both sexes","Connacht","1926","Annual Rate of Population Increase","No. per 1000 Pop.","-6.6"
"Both sexes","Connacht","1936","Population","Number","525468"
"Both sexes","Connacht","1936","Population Change since previous Census","Number","-27439"
"Both sexes","Connacht","1936","Annual Rate of Population Increase","No. per 1000 Pop.","-5.1"
"Both sexes","Connacht","1946","Population","Number","492797"
"Both sexes","Connacht","1946","Population Change since previous Census","Number","-32671"
"Both sexes","Connacht","1946","Annual Rate of Population Increase","No. per 1000 Pop.","-6.4"
"Both sexes","Connacht","1951","Population","Number","471895"
"Both sexes","Connacht","1951","Population Change since previous Census","Number","-20902"
"Both sexes","Connacht","1951","Annual Rate of Population Increase","No. per 1000 Pop.","-8.6"
"Both sexes","Connacht","1956","Population","Number","446221"
"Both sexes","Connacht","1956","Population Change since previous Census","Number","-25674"
"Both sexes","Connacht","1956","Annual Rate of Population Increase","No. per 1000 Pop.","-11.1"
"Both sexes","Connacht","1961","Population","Number","419465"
"Both sexes","Connacht","1961","Population Change since previous Census","Number","-26756"
"Both sexes","Connacht","1961","Annual Rate of Population Increase","No. per 1000 Pop.","-12.3"
"Both sexes","Connacht","1966","Population","Number","401950"
"Both sexes","Connacht","1966","Population Change since previous Census","Number","-17515"
"Both sexes","Connacht","1966","Annual Rate of Population Increase","No. per 1000 Pop.","-8.5"
"Both sexes","Connacht","1971","Population","Number","390902"
"Both sexes","Connacht","1971","Population Change since previous Census","Number","-11048"
"Both sexes","Connacht","1971","Annual Rate of Population Increase","No. per 1000 Pop.","-5.6"
"Both sexes","Connacht","1979","Population","Number","418500"
"Both sexes","Connacht","1979","Population Change since previous Census","Number","27598"
"Both sexes","Connacht","1979","Annual Rate of Population Increase","No. per 1000 Pop.","8.6"
"Both sexes","Connacht","1981","Population","Number","424410"
"Both sexes","Connacht","1981","Population Change since previous Census","Number","5910"
"Both sexes","Connacht","1981","Annual Rate of Population Increase","No. per 1000 Pop.","7"
"Both sexes","Connacht","1986","Population","Number","431409"
"Both sexes","Connacht","1986","Population Change since previous Census","Number","6999"
"Both sexes","Connacht","1986","Annual Rate of Population Increase","No. per 1000 Pop.","3.3"
"Both sexes","Connacht","1991","Population","Number","423031"
"Both sexes","Connacht","1991","Population Change since previous Census","Number","-8378"
"Both sexes","Connacht","1991","Annual Rate of Population Increase","No. per 1000 Pop.","-3.9"
"Both sexes","Connacht","1996","Population","Number","433231"
"Both sexes","Connacht","1996","Population Change since previous Census","Number","10200"
"Both sexes","Connacht","1996","Annual Rate of Population Increase","No. per 1000 Pop.","4.8"
"Both sexes","Connacht","2002","Population","Number","464296"
"Both sexes","Connacht","2002","Population Change since previous Census","Number","31065"
"Both sexes","Connacht","2002","Annual Rate of Population Increase","No. per 1000 Pop.","11.6"
"Both sexes","Connacht","2006","Population","Number","504121"
"Both sexes","Connacht","2006","Population Change since previous Census","Number","39825"
"Both sexes","Connacht","2006","Annual Rate of Population Increase","No. per 1000 Pop.","20.8"
"Both sexes","Connacht","2011","Population","Number","542547"
"Both sexes","Connacht","2011","Population Change since previous Census","Number","38426"
"Both sexes","Connacht","2011","Annual Rate of Population Increase","No. per 1000 Pop.","14.7"
"Both sexes","Connacht","2016","Population","Number","550688"
"Both sexes","Connacht","2016","Population Change since previous Census","Number","8141"
"Both sexes","Connacht","2016","Annual Rate of Population Increase","No. per 1000 Pop.","3"
"Both sexes","Galway","1841","Population","Number","440198"
"Both sexes","Galway","1841","Population Change since previous Census","Number",""
"Both sexes","Galway","1841","Annual Rate of Population Increase","No. per 1000 Pop.",""
"Both sexes","Galway","1851","Population","Number","321684"
"Both sexes","Galway","1851","Population Change since previous Census","Number","-118514"
"Both sexes","Galway","1851","Annual Rate of Population Increase","No. per 1000 Pop.","-30.9"
"Both sexes","Galway","1861","Population","Number","271478"
"Both sexes","Galway","1861","Population Change since previous Census","Number","-50206"
"Both sexes","Galway","1861","Annual Rate of Population Increase","No. per 1000 Pop.","-16.8"
"Both sexes","Galway","1871","Population","Number","248458"
"Both sexes","Galway","1871","Population Change since previous Census","Number","-23020"
"Both sexes","Galway","1871","Annual Rate of Population Increase","No. per 1000 Pop.","-8.8"
"Both sexes","Galway","1881","Population","Number","242005"
"Both sexes","Galway","1881","Population Change since previous Census","Number","-6453"
"Both sexes","Galway","1881","Annual Rate of Population Increase","No. per 1000 Pop.","-2.6"
"Both sexes","Galway","1891","Population","Number","214712"
"Both sexes","Galway","1891","Population Change since previous Census","Number","-27293"
"Both sexes","Galway","1891","Annual Rate of Population Increase","No. per 1000 Pop.","-11.9"
"Both sexes","Galway","1901","Population","Number","192549"
"Both sexes","Galway","1901","Population Change since previous Census","Number","-22163"
"Both sexes","Galway","1901","Annual Rate of Population Increase","No. per 1000 Pop.","-10.8"
"Both sexes","Galway","1911","Population","Number","182224"
"Both sexes","Galway","1911","Population Change since previous Census","Number","-10325"
"Both sexes","Galway","1911","Annual Rate of Population Increase","No. per 1000 Pop.","-5.5"
"Both sexes","Galway","1926","Population","Number","169366"
"Both sexes","Galway","1926","Population Change since previous Census","Number","-12858"
"Both sexes","Galway","1926","Annual Rate of Population Increase","No. per 1000 Pop.","-4.9"
"Both sexes","Galway","1936","Population","Number","168198"
"Both sexes","Galway","1936","Population Change since previous Census","Number","-1168"
"Both sexes","Galway","1936","Annual Rate of Population Increase","No. per 1000 Pop.","-0.7"
"Both sexes","Galway","1946","Population","Number","165201"
"Both sexes","Galway","1946","Population Change since previous Census","Number","-2997"
"Both sexes","Galway","1946","Annual Rate of Population Increase","No. per 1000 Pop.","-1.8"
"Both sexes","Galway","1951","Population","Number","160204"
"Both sexes","Galway","1951","Population Change since previous Census","Number","-4997"
"Both sexes","Galway","1951","Annual Rate of Population Increase","No. per 1000 Pop.","-6.1"
"Both sexes","Galway","1956","Population","Number","155553"
"Both sexes","Galway","1956","Population Change since previous Census","Number","-4651"
"Both sexes","Galway","1956","Annual Rate of Population Increase","No. per 1000 Pop.","-5.9"
"Both sexes","Galway","1961","Population","Number","149887"
"Both sexes","Galway","1961","Population Change since previous Census","Number","-5666"
"Both sexes","Galway","1961","Annual Rate of Population Increase","No. per 1000 Pop.","-7.4"
"Both sexes","Galway","1966","Population","Number","148340"
"Both sexes","Galway","1966","Population Change since previous Census","Number","-1547"
"Both sexes","Galway","1966","Annual Rate of Population Increase","No. per 1000 Pop.","-2.1"
"Both sexes","Galway","1971","Population","Number","149223"
"Both sexes","Galway","1971","Population Change since previous Census","Number","883"
"Both sexes","Galway","1971","Annual Rate of Population Increase","No. per 1000 Pop.","1.2"
"Both sexes","Galway","1979","Population","Number","167838"
"Both sexes","Galway","1979","Population Change since previous Census","Number","18615"
"Both sexes","Galway","1979","Annual Rate of Population Increase","No. per 1000 Pop.","14.8"
"Both sexes","Galway","1981","Population","Number","172018"
"Both sexes","Galway","1981","Population Change since previous Census","Number","4180"
"Both sexes","Galway","1981","Annual Rate of Population Increase","No. per 1000 Pop.","12.4"
"Both sexes","Galway","1986","Population","Number","178552"
"Both sexes","Galway","1986","Population Change since previous Census","Number","6534"
"Both sexes","Galway","1986","Annual Rate of Population Increase","No. per 1000 Pop.","7.5"
"Both sexes","Galway","1991","Population","Number","180364"
"Both sexes","Galway","1991","Population Change since previous Census","Number","1812"
"Both sexes","Galway","1991","Annual Rate of Population Increase","No. per 1000 Pop.","2"
"Both sexes","Galway","1996","Population","Number","188854"
"Both sexes","Galway","1996","Population Change since previous Census","Number","8490"
"Both sexes","Galway","1996","Annual Rate of Population Increase","No. per 1000 Pop.","9.2"
"Both sexes","Galway","2002","Population","Number","209077"
"Both sexes","Galway","2002","Population Change since previous Census","Number","20223"
"Both sexes","Galway","2002","Annual Rate of Population Increase","No. per 1000 Pop.","17.1"
"Both sexes","Galway","2006","Population","Number","231670"
"Both sexes","Galway","2006","Population Change since previous Census","Number","22593"
"Both sexes","Galway","2006","Annual Rate of Population Increase","No. per 1000 Pop.","26"
"Both sexes","Galway","2011","Population","Number","250653"
"Both sexes","Galway","2011","Population Change since previous Census","Number","18983"
"Both sexes","Galway","2011","Annual Rate of Population Increase","No. per 1000 Pop.","15.7"
"Both sexes","Galway","2016","Population","Number","258058"
"Both sexes","Galway","2016","Population Change since previous Census","Number","7405"
"Both sexes","Galway","2016","Annual Rate of Population Increase","No. per 1000 Pop.","5.8"
"Both sexes","Leitrim","1841","Population","Number","155297"
"Both sexes","Leitrim","1841","Population Change since previous Census","Number",""
"Both sexes","Leitrim","1841","Annual Rate of Population Increase","No. per 1000 Pop.",""
"Both sexes","Leitrim","1851","Population","Number","111897"
"Both sexes","Leitrim","1851","Population Change since previous Census","Number","-43400"
"Both sexes","Leitrim","1851","Annual Rate of Population Increase","No. per 1000 Pop.","-32.2"
"Both sexes","Leitrim","1861","Population","Number","104744"
"Both sexes","Leitrim","1861","Population Change since previous Census","Number","-7153"
"Both sexes","Leitrim","1861","Annual Rate of Population Increase","No. per 1000 Pop.","-6.6"
"Both sexes","Leitrim","1871","Population","Number","95562"
"Both sexes","Leitrim","1871","Population Change since previous Census","Number","-9182"
"Both sexes","Leitrim","1871","Annual Rate of Population Increase","No. per 1000 Pop.","-9.1"
"Both sexes","Leitrim","1881","Population","Number","90372"
"Both sexes","Leitrim","1881","Population Change since previous Census","Number","-5190"
"Both sexes","Leitrim","1881","Annual Rate of Population Increase","No. per 1000 Pop.","-5.6"
"Both sexes","Leitrim","1891","Population","Number","78618"
"Both sexes","Leitrim","1891","Population Change since previous Census","Number","-11754"
"Both sexes","Leitrim","1891","Annual Rate of Population Increase","No. per 1000 Pop.","-13.8"
"Both sexes","Leitrim","1901","Population","Number","69343"
"Both sexes","Leitrim","1901","Population Change since previous Census","Number","-9275"
"Both sexes","Leitrim","1901","Annual Rate of Population Increase","No. per 1000 Pop.","-12.5"
"Both sexes","Leitrim","1911","Population","Number","63582"
"Both sexes","Leitrim","1911","Population Change since previous Census","Number","-5761"
"Both sexes","Leitrim","1911","Annual Rate of Population Increase","No. per 1000 Pop.","-8.6"
"Both sexes","Leitrim","1926","Population","Number","55907"
"Both sexes","Leitrim","1926","Population Change since previous Census","Number","-7675"
"Both sexes","Leitrim","1926","Annual Rate of Population Increase","No. per 1000 Pop.","-8.5"
"Both sexes","Leitrim","1936","Population","Number","50908"
"Both sexes","Leitrim","1936","Population Change since previous Census","Number","-4999"
"Both sexes","Leitrim","1936","Annual Rate of Population Increase","No. per 1000 Pop.","-9.3"
"Both sexes","Leitrim","1946","Population","Number","44591"
"Both sexes","Leitrim","1946","Population Change since previous Census","Number","-6317"
"Both sexes","Leitrim","1946","Annual Rate of Population Increase","No. per 1000 Pop.","-13.2"
"Both sexes","Leitrim","1951","Population","Number","41209"
"Both sexes","Leitrim","1951","Population Change since previous Census","Number","-3382"
"Both sexes","Leitrim","1951","Annual Rate of Population Increase","No. per 1000 Pop.","-15.7"
"Both sexes","Leitrim","1956","Population","Number","37056"
"Both sexes","Leitrim","1956","Population Change since previous Census","Number","-4153"
"Both sexes","Leitrim","1956","Annual Rate of Population Increase","No. per 1000 Pop.","-21"
"Both sexes","Leitrim","1961","Population","Number","33470"
"Both sexes","Leitrim","1961","Population Change since previous Census","Number","-3586"
"Both sexes","Leitrim","1961","Annual Rate of Population Increase","No. per 1000 Pop.","-20.2"
"Both sexes","Leitrim","1966","Population","Number","30572"
"Both sexes","Leitrim","1966","Population Change since previous Census","Number","-2898"
"Both sexes","Leitrim","1966","Annual Rate of Population Increase","No. per 1000 Pop.","-17.9"
"Both sexes","Leitrim","1971","Population","Number","28360"
"Both sexes","Leitrim","1971","Population Change since previous Census","Number","-2212"
"Both sexes","Leitrim","1971","Annual Rate of Population Increase","No. per 1000 Pop.","-14.9"
"Both sexes","Leitrim","1979","Population","Number","27844"
"Both sexes","Leitrim","1979","Population Change since previous Census","Number","-516"
"Both sexes","Leitrim","1979","Annual Rate of Population Increase","No. per 1000 Pop.","-2.3"
"Both sexes","Leitrim","1981","Population","Number","27609"
"Both sexes","Leitrim","1981","Population Change since previous Census","Number","-235"
"Both sexes","Leitrim","1981","Annual Rate of Population Increase","No. per 1000 Pop.","-4.2"
"Both sexes","Leitrim","1986","Population","Number","27035"
"Both sexes","Leitrim","1986","Population Change since previous Census","Number","-574"
"Both sexes","Leitrim","1986","Annual Rate of Population Increase","No. per 1000 Pop.","-4.2"
"Both sexes","Leitrim","1991","Population","Number","25301"
"Both sexes","Leitrim","1991","Population Change since previous Census","Number","-1734"
"Both sexes","Leitrim","1991","Annual Rate of Population Increase","No. per 1000 Pop.","-13.2"
"Both sexes","Leitrim","1996","Population","Number","25057"
"Both sexes","Leitrim","1996","Population Change since previous Census","Number","-244"
"Both sexes","Leitrim","1996","Annual Rate of Population Increase","No. per 1000 Pop.","-1.9"
"Both sexes","Leitrim","2002","Population","Number","25799"
"Both sexes","Leitrim","2002","Population Change since previous Census","Number","742"
"Both sexes","Leitrim","2002","Annual Rate of Population Increase","No. per 1000 Pop.","4.9"
"Both sexes","Leitrim","2006","Population","Number","28950"
"Both sexes","Leitrim","2006","Population Change since previous Census","Number","3151"
"Both sexes","Leitrim","2006","Annual Rate of Population Increase","No. per 1000 Pop.","29.2"
"Both sexes","Leitrim","2011","Population","Number","31798"
"Both sexes","Leitrim","2011","Population Change since previous Census","Number","2848"
"Both sexes","Leitrim","2011","Annual Rate of Population Increase","No. per 1000 Pop.","18.8"
"Both sexes","Leitrim","2016","Population","Number","32044"
"Both sexes","Leitrim","2016","Population Change since previous Census","Number","246"
"Both sexes","Leitrim","2016","Annual Rate of Population Increase","No. per 1000 Pop.","1.5"
"Both sexes","Mayo","1841","Population","Number","388887"
"Both sexes","Mayo","1841","Population Change since previous Census","Number",""
"Both sexes","Mayo","1841","Annual Rate of Population Increase","No. per 1000 Pop.",""
"Both sexes","Mayo","1851","Population","Number","274499"
"Both sexes","Mayo","1851","Population Change since previous Census","Number","-114388"
"Both sexes","Mayo","1851","Annual Rate of Population Increase","No. per 1000 Pop.","-34.2"
"Both sexes","Mayo","1861","Population","Number","254796"
"Both sexes","Mayo","1861","Population Change since previous Census","Number","-19703"
"Both sexes","Mayo","1861","Annual Rate of Population Increase","No. per 1000 Pop.","-7.4"
"Both sexes","Mayo","1871","Population","Number","246030"
"Both sexes","Mayo","1871","Population Change since previous Census","Number","-8766"
"Both sexes","Mayo","1871","Annual Rate of Population Increase","No. per 1000 Pop.","-3.5"
"Both sexes","Mayo","1881","Population","Number","245212"
"Both sexes","Mayo","1881","Population Change since previous Census","Number","-818"
"Both sexes","Mayo","1881","Annual Rate of Population Increase","No. per 1000 Pop.","-0.3"
"Both sexes","Mayo","1891","Population","Number","219034"
"Both sexes","Mayo","1891","Population Change since previous Census","Number","-26178"
"Both sexes","Mayo","1891","Annual Rate of Population Increase","No. per 1000 Pop.","-11.2"
"Both sexes","Mayo","1901","Population","Number","199166"
"Both sexes","Mayo","1901","Population Change since previous Census","Number","-19868"
"Both sexes","Mayo","1901","Annual Rate of Population Increase","No. per 1000 Pop.","-9.5"
"Both sexes","Mayo","1911","Population","Number","192177"
"Both sexes","Mayo","1911","Population Change since previous Census","Number","-6989"
"Both sexes","Mayo","1911","Annual Rate of Population Increase","No. per 1000 Pop.","-3.6"
"Both sexes","Mayo","1926","Population","Number","172690"
"Both sexes","Mayo","1926","Population Change since previous Census","Number","-19487"
"Both sexes","Mayo","1926","Annual Rate of Population Increase","No. per 1000 Pop.","-7.1"
"Both sexes","Mayo","1936","Population","Number","161349"
"Both sexes","Mayo","1936","Population Change since previous Census","Number","-11341"
"Both sexes","Mayo","1936","Annual Rate of Population Increase","No. per 1000 Pop.","-6.8"
"Both sexes","Mayo","1946","Population","Number","148120"
"Both sexes","Mayo","1946","Population Change since previous Census","Number","-13229"
"Both sexes","Mayo","1946","Annual Rate of Population Increase","No. per 1000 Pop.","-8.5"
"Both sexes","Mayo","1951","Population","Number","141867"
"Both sexes","Mayo","1951","Population Change since previous Census","Number","-6253"
"Both sexes","Mayo","1951","Annual Rate of Population Increase","No. per 1000 Pop.","-8.6"
"Both sexes","Mayo","1956","Population","Number","133052"
"Both sexes","Mayo","1956","Population Change since previous Census","Number","-8815"
"Both sexes","Mayo","1956","Annual Rate of Population Increase","No. per 1000 Pop.","-12.7"
"Both sexes","Mayo","1961","Population","Number","123330"
"Both sexes","Mayo","1961","Population Change since previous Census","Number","-9722"
"Both sexes","Mayo","1961","Annual Rate of Population Increase","No. per 1000 Pop.","-15.1"
"Both sexes","Mayo","1966","Population","Number","115547"
"Both sexes","Mayo","1966","Population Change since previous Census","Number","-7783"
"Both sexes","Mayo","1966","Annual Rate of Population Increase","No. per 1000 Pop.","-13"
"Both sexes","Mayo","1971","Population","Number","109525"
"Both sexes","Mayo","1971","Population Change since previous Census","Number","-6022"
"Both sexes","Mayo","1971","Annual Rate of Population Increase","No. per 1000 Pop.","-10.6"
"Both sexes","Mayo","1979","Population","Number","114019"
"Both sexes","Mayo","1979","Population Change since previous Census","Number","4494"
"Both sexes","Mayo","1979","Annual Rate of Population Increase","No. per 1000 Pop.","5"
"Both sexes","Mayo","1981","Population","Number","114766"
"Both sexes","Mayo","1981","Population Change since previous Census","Number","747"
"Both sexes","Mayo","1981","Annual Rate of Population Increase","No. per 1000 Pop.","3.3"
"Both sexes","Mayo","1986","Population","Number","115184"
"Both sexes","Mayo","1986","Population Change since previous Census","Number","418"
"Both sexes","Mayo","1986","Annual Rate of Population Increase","No. per 1000 Pop.","0.7"
"Both sexes","Mayo","1991","Population","Number","110713"
"Both sexes","Mayo","1991","Population Change since previous Census","Number","-4471"
"Both sexes","Mayo","1991","Annual Rate of Population Increase","No. per 1000 Pop.","-7.9"
"Both sexes","Mayo","1996","Population","Number","111524"
"Both sexes","Mayo","1996","Population Change since previous Census","Number","811"
"Both sexes","Mayo","1996","Annual Rate of Population Increase","No. per 1000 Pop.","1.5"
"Both sexes","Mayo","2002","Population","Number","117446"
"Both sexes","Mayo","2002","Population Change since previous Census","Number","5922"
"Both sexes","Mayo","2002","Annual Rate of Population Increase","No. per 1000 Pop.","8.7"
"Both sexes","Mayo","2006","Population","Number","123839"
"Both sexes","Mayo","2006","Population Change since previous Census","Number","6393"
"Both sexes","Mayo","2006","Annual Rate of Population Increase","No. per 1000 Pop.","13.3"
"Both sexes","Mayo","2011","Population","Number","130638"
"Both sexes","Mayo","2011","Population Change since previous Census","Number","6799"
"Both sexes","Mayo","2011","Annual Rate of Population Increase","No. per 1000 Pop.","10.7"
"Both sexes","Mayo","2016","Population","Number","130507"
"Both sexes","Mayo","2016","Population Change since previous Census","Number","-131"
"Both sexes","Mayo","2016","Annual Rate of Population Increase","No. per 1000 Pop.","-0.2"
"Both sexes","Roscommon","1841","Population","Number","253591"
"Both sexes","Roscommon","1841","Population Change since previous Census","Number",""
"Both sexes","Roscommon","1841","Annual Rate of Population Increase","No. per 1000 Pop.",""
"Both sexes","Roscommon","1851","Population","Number","173436"
"Both sexes","Roscommon","1851","Population Change since previous Census","Number","-80155"
"Both sexes","Roscommon","1851","Annual Rate of Population Increase","No. per 1000 Pop.","-37.3"
"Both sexes","Roscommon","1861","Population","Number","157272"
"Both sexes","Roscommon","1861","Population Change since previous Census","Number","-16164"
"Both sexes","Roscommon","1861","Annual Rate of Population Increase","No. per 1000 Pop.","-9.7"
"Both sexes","Roscommon","1871","Population","Number","140670"
"Both sexes","Roscommon","1871","Population Change since previous Census","Number","-16602"
"Both sexes","Roscommon","1871","Annual Rate of Population Increase","No. per 1000 Pop.","-11.1"
"Both sexes","Roscommon","1881","Population","Number","132490"
"Both sexes","Roscommon","1881","Population Change since previous Census","Number","-8180"
"Both sexes","Roscommon","1881","Annual Rate of Population Increase","No. per 1000 Pop.","-6"
"Both sexes","Roscommon","1891","Population","Number","114397"
"Both sexes","Roscommon","1891","Population Change since previous Census","Number","-18093"
"Both sexes","Roscommon","1891","Annual Rate of Population Increase","No. per 1000 Pop.","-14.6"
